customer_id,gender,age,member_tier,member_since
C1000,F,,Gold,2021-12-15
C1001,M,57,Silver,2021-09-28
C1002,,41,Gold,2022-06-25
C1003,F,30,Gold,2022-12-26
C1004,,43,Gold,2024-06-18
C1005,M,52,Silver,2023-10-24
C1006,F,68,Silver,2022-10-26
C1007,F,33,Silver,2021-12-21
C1008,F,45,Silver,2023-11-05
C1009,F,36,Silver,2021-04-09
C1010,F,59,Silver,2021-06-07
C1011,M,19,Gold,2022-12-09
C1012,M,46,Platinum,2024-03-15
C1013,F,30,,2023-12-11
C1014,M,68,Silver,2023-09-12
C1015,F,62,,2022-04-04
C1016,,42,Silver,2023-10-13
C1017,M,24,Gold,2021-09-13
C1018,F,29,Gold,2022-10-26
C1019,M,56,Silver,2022-06-04
C1020,M,39,,2022-03-01
C1021,M,58,Silver,2022-11-20
C1022,F,63,Gold,2022-07-09
C1023,M,24,Silver,2022-10-18
C1024,M,21,Gold,2022-07-10
C1025,F,27,Silver,2021-08-28
C1026,F,50,Silver,2021-07-04
C1027,F,64,Silver,2021-10-28
C1028,M,45,,2021-04-05
C1029,F,65,Gold,2022-07-24
C1030,F,66,Silver,2021-11-15
C1031,M,51,Silver,2024-12-30
C1032,F,19,Silver,2021-01-31
C1033,M,50,Silver,2022-06-23
C1034,F,44,Silver,2024-01-13
C1035,F,22,,2024-06-30
C1036,M,45,Silver,2021-10-19
C1037,M,21,Silver,2022-05-29
C1038,F,35,Silver,2022-10-06
C1039,,,Gold,2022-12-08
C1040,M,22,Platinum,2024-04-27
C1041,F,54,Silver,2024-05-26
C1042,F,36,Silver,2023-07-07
C1043,M,49,Silver,2023-08-11
C1044,M,41,Silver,2021-08-27
C1045,M,38,Silver,2023-07-12
C1046,F,32,,2022-09-25
C1047,F,150,Platinum,2023-03-10
C1048,F,29,,2021-12-28
C1049,F,26,Gold,2021-11-11
C1050,F,58,Silver,2021-10-13
C1051,M,,Gold,2024-04-08
C1052,M,60,,2021-10-17
C1053,F,44,,2021-06-18
C1054,F,54,Silver,2022-01-08
C1055,F,67,Silver,2023-06-16
C1056,F,35,Silver,2023-07-21
C1057,M,40,Silver,2024-10-29
C1058,M,27,Silver,2024-02-08
C1059,M,59,Silver,2021-04-07
C1060,M,22,Silver,2023-01-07
C1061,F,20,,2023-08-16
C1062,F,29,Gold,2022-04-28
C1063,M,18,Platinum,2022-07-09
C1064,M,60,,2024-01-27
C1065,M,24,Silver,2023-05-10
C1066,F,39,Gold,2023-07-02
C1067,M,26,,2023-04-11
C1068,M,49,Gold,2021-12-25
C1069,M,34,Silver,2021-12-25
C1070,M,23,Silver,2023-05-30
C1071,M,42,Gold,2024-04-19
C1072,F,55,Gold,2024-10-02
C1073,F,47,Silver,2023-05-26
C1074,F,,Gold,2023-01-02
C1075,M,60,Gold,2023-07-08
C1076,M,22,,2023-02-10
C1077,F,28,,2022-01-17
C1078,F,65,Silver,2021-08-17
C1079,F,150,Gold,2023-07-19
