promo_code,branch,customer_id,product_id,invoice_id,product_name,qty,unit_price,transaction_datetime,cost_price
MEMBER8,KL,C2055,BEV002,INV100068,Mineral Water 500ml,2.0,1.8,2025-01-20 13:25:00,0.6
NONE,JB,C2769,PER001,INV100251,Shampoo 650ml,4.0,15.9,2025-11-09 16:58:00,10.4
NONE,IP,C1457,FRZ001,INV100469,Chicken Nugget 1kg,1.0,14.9,2025-02-19 18:36:00,11.8
NONE,KL,C2581,BEV002,INV100541,Mineral Water 500ml,1.0,1.8,2025-11-15 10:37:00,0.6
NONE,PJ,C2658,SNK001,INV100543,Potato Chips BBQ,2.0,6.9,2025-02-06 13:07:00,3.0
YEAR_END15,JB,C2555,BEV002,INV100841,Mineral Water 500ml,1.0,1.8,2025-09-15 16:05:00,0.6
CNY10,PG,C2743,HOM002,INV100889,Dishwashing Liquid 900ml,1.0,9.5,2025-06-20 11:36:00,6.1
NONE,JB,C2000,PER002,INV100893,Body Wash 1L,2.0,14.2,2025-07-23 12:20:00,9.7
NONE,KL,C1893,SNK002,INV101270,Chocolate Cookies 200g,3.0,8.2,2025-10-26 12:10:00,4.6
CNY10,JB,C1299,FRS001,INV101451,Apple Fuji 1kg,3.0,8.5,2025-11-02 15:49:00,7.0
YEAR_END15,KL,C1421,SNK001,INV101461,Potato Chips BBQ,3.0,6.9,2025-12-15 19:39:00,3.0
NONE,SB,C1172,BEV003,INV102082,Orange Juice 1L,3.0,7.9,2025-12-14 21:12:00,5.9
YEAR_END15,JB,C2472,FRZ001,INV102392,Chicken Nugget 1kg,1.0,14.9,2025-10-12 10:21:00,11.8
NONE,PG,C2163,PER001,INV102771,Shampoo 650ml,1.0,15.9,2025-07-07 20:04:00,10.4
YEAR_END15,CH,C1429,BEV003,INV102806,Orange Juice 1L,1.0,7.9,2025-03-12 18:42:00,5.9
YEAR_END15,KL,C1148,HOM002,INV102927,Dishwashing Liquid 900ml,1.0,9.5,2025-01-01 13:52:00,6.1
NONE,JB,C2574,SNK002,INV103082,Chocolate Cookies 200g,5.0,8.2,2025-11-09 19:00:00,4.6
NONE,KL,C2572,SNK001,INV103489,Potato Chips BBQ,1.0,6.9,2025-07-05 16:58:00,3.0
NONE,PJ,C2392,FRS002,INV103753,Banana 1kg,1.0,5.5,2025-03-14 10:43:00,4.8
NONE,JB,C1788,PER002,INV104244,Body Wash 1L,1.0,14.2,2025-08-25 15:01:00,9.7
NONE,PJ,C2535,BEV001,INV104321,Coca Cola 1.5L,1.0,4.5,2025-10-13 20:51:00,3.8
CNY10,JB,C1672,FRZ001,INV104684,Chicken Nugget 1kg,1.0,14.9,2025-03-24 11:28:00,11.8
LOSS30,JB,C1923,FRS001,INV104758,Apple Fuji 1kg,1.0,8.5,2025-07-23 21:28:00,7.0
NONE,SB,C2067,HOM002,INV104829,Dishwashing Liquid 900ml,3.0,9.5,2025-06-21 14:25:00,6.1
MEMBER8,PJ,C2371,SNK001,INV104878,Potato Chips BBQ,3.0,6.9,2025-03-13 10:27:00,3.0
MEMBER8,CH,C2748,SNK001,INV105264,Potato Chips BBQ,6.0,6.9,2025-11-06 18:56:00,3.0
NONE,IP,C2687,BEV001,INV105276,Coca Cola 1.5L,1.0,4.5,2025-05-19 11:25:00,3.8
YEAR_END15,IP,C1573,HOM002,INV105498,Dishwashing Liquid 900ml,2.0,9.5,2025-05-08 18:44:00,6.1
YEAR_END15,KL,C1115,BEV003,INV105734,Orange Juice 1L,4.0,7.9,2025-12-26 12:53:00,5.9
NONE,PJ,C1500,FRS002,INV105777,Banana 1kg,2.0,5.5,2025-02-11 13:49:00,4.8
MEMBER8,IP,C1667,FRS001,INV106099,Apple Fuji 1kg,1.0,8.5,2025-02-08 21:36:00,7.0
NONE,SB,C1350,HOM002,INV106134,Dishwashing Liquid 900ml,3.0,9.5,2025-12-17 14:08:00,6.1
LOSS30,SB,C1169,PER001,INV106179,Shampoo 650ml,1.0,15.9,2025-05-23 10:21:00,10.4
NONE,KL,C2057,SNK002,INV106494,Chocolate Cookies 200g,1.0,8.2,2025-02-12 11:54:00,4.6
